URL,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
http://www.cian.ru/sale/flat/150097359/,1,4390000,37.4,19.0,8.5,18.030,13,0,0,1,1,7,16,0
http://www.cian.ru/sale/flat/148708447/,2,7100000,43.0,29.0,6.0,13.000,None,None,0,None,1,2,9,0
http://www.cian.ru/sale/flat/150386937/,1,8505540,49.7,19.5,13.4,13.204,None,None,None,None,1,4,16,1
http://www.cian.ru/sale/flat/150373030/,1,4520238,35.3,35.3,None,13.464,10,0,1,0,0,6,8,0
http://www.cian.ru/sale/flat/150091526/,1,4600000,33.0,18.0,7.5,13.189,None,None,0,1,0,4,9,0
http://www.cian.ru/sale/flat/148886672/,2,6000000,34.0,23.0,5.0,15.055,5,0,None,None,1,4,9,0
http://www.cian.ru/sale/flat/150348984/,2,6700000,44.0,29.0,5.6,11.730,None,None,None,None,1,5,5,0
http://www.cian.ru/sale/flat/147280459/,2,6200000,36.0,22.0,7.0,6.817,15,0,None,None,1,7,9,0
http://www.cian.ru/sale/flat/150352461/,1,8217600,43.0,43.0,None,6.295,3,1,1,None,0,2,28,1
http://www.cian.ru/sale/flat/151019656/,1,7950000,33.0,27.0,6.0,6.943,7,1,1,1,1,5,5,0
http://www.cian.ru/sale/flat/13033903/,2,7700000,45.0,31.0,6.0,9.118,16,1,0,1,1,4,5,0
http://www.cian.ru/sale/flat/43369704/,1,3600000,15.0,13.0,2.0,16.473,12,1,1,None,0,5,6,0
http://www.cian.ru/sale/flat/150659366/,1,5800000,38.0,19.0,8.5,18.699,11,1,0,0,1,2,17,0
http://www.cian.ru/sale/flat/148998613/,1,4750000,33.0,18.0,6.0,13.480,10,1,0,1,1,5,5,0
http://www.cian.ru/sale/flat/150196720/,1,7403040,36.0,11.2,12.3,13.645,14,1,1,None,0,16,22,1
http://www.cian.ru/sale/flat/147302821/,1,5100000,35.0,16.6,10.0,11.349,7,1,1,None,1,5,20,1
http://www.cian.ru/sale/flat/149597835/,1,7000000,39.0,19.1,7.5,10.101,11,1,1,1,1,15,17,0
http://www.cian.ru/sale/flat/139740130/,1,5489920,30.3,25.3,4.0,8.645,15,1,1,None,1,12,14,1
http://www.cian.ru/sale/flat/147520506/,2,8300000,48.0,32.0,9.0,12.051,7,1,0,1,1,9,14,0
http://www.cian.ru/sale/flat/149687566/,2,7600000,60.0,34.0,11.0,19.424,5,1,None,0,1,12,12,0
http://www.cian.ru/sale/flat/149974284/,3,20900000,79.0,1.0,None,11.296,9,1,None,None,1,10,17,0
http://www.cian.ru/sale/flat/151053758/,2,26820500,78.6,None,None,20.113,15,1,1,0,1,6,8,0
http://www.cian.ru/sale/flat/150820569/,2,12300000,53.4,35.7,7.1,12.237,3,1,0,1,0,10,16,0
http://www.cian.ru/sale/flat/50633281/,2,9523505,55.5,48.9,4.0,8.645,15,1,1,None,1,5,13,1
http://www.cian.ru/sale/flat/150123822/,1,4500000,33.0,18.0,6.0,15.811,None,None,0,None,0,1,5,0
http://www.cian.ru/sale/flat/149418250/,1,6990000,38.0,18.0,9.0,17.523,5,1,0,0,1,2,16,0
http://www.cian.ru/sale/flat/150738582/,2,6900000,44.0,32.0,6.0,14.257,11,1,1,0,1,3,5,0
http://www.cian.ru/sale/flat/150685303/,1,7255608,38.6,14.8,10.7,9.388,10,1,1,None,1,30,32,1
http://www.cian.ru/sale/flat/148914221/,2,6400000,44.1,30.0,6.0,17.763,12,1,0,1,0,3,9,0
http://www.cian.ru/sale/flat/151044463/,2,6100000,45.0,29.0,6.0,11.392,7,1,None,None,0,1,5,0
http://www.cian.ru/sale/flat/150797651/,2,7800000,45.0,30.0,6.0,11.287,24,1,None,1,1,1,9,0
http://www.cian.ru/sale/flat/150821630/,2,7300000,45.0,32.0,7.5,15.356,28,1,0,1,1,6,9,0
http://www.cian.ru/sale/flat/148292520/,1,4850000,31.0,18.0,6.0,11.619,20,1,1,1,1,4,5,0
http://www.cian.ru/sale/flat/149560982/,1,8800000,37.7,19.0,8.0,16.223,2,1,0,1,1,17,17,0
http://www.cian.ru/sale/flat/150329190/,1,4700000,33.0,19.0,6.0,13.868,15,1,0,1,0,1,5,0
http://www.cian.ru/sale/flat/148791312/,1,5000000,32.0,20.0,6.0,18.311,3,1,0,0,0,1,5,0
http://www.cian.ru/sale/flat/150759732/,1,9241505,53.5,None,13.2,19.082,5,0,1,None,0,12,24,1
http://www.cian.ru/sale/flat/149582411/,1,5500000,34.7,21.0,5.9,14.575,12,1,0,1,1,1,9,0
http://www.cian.ru/sale/flat/150325836/,1,4850000,33.0,19.0,7.0,13.689,15,1,0,1,0,5,9,0
http://www.cian.ru/sale/flat/150457618/,1,6200000,38.0,19.0,9.0,10.109,5,0,0,1,1,14,16,0
http://www.cian.ru/sale/flat/150235368/,1,5700000,37.0,19.6,9.6,19.982,15,1,None,None,1,11,12,0
http://www.cian.ru/sale/flat/149416892/,1,4850000,31.7,18.0,7.0,12.021,15,1,None,1,1,7,9,0
http://www.cian.ru/sale/flat/150750590/,1,5350000,33.0,19.0,6.7,18.625,3,1,0,None,0,1,9,0
http://www.cian.ru/sale/flat/148774890/,3,33950000,100.0,75.0,15.0,15.622,2,1,1,1,1,18,31,0
http://www.cian.ru/sale/flat/149967276/,1,7700000,38.0,19.0,11.0,6.367,5,1,0,1,1,2,16,0
http://www.cian.ru/sale/flat/149487345/,2,7900000,43.0,26.0,6.0,10.316,6,1,None,1,0,1,9,0
http://www.cian.ru/sale/flat/147431102/,1,3500000,31.0,18.0,5.7,17.466,4,0,1,1,0,3,4,0
http://www.cian.ru/sale/flat/150783819/,1,6800000,39.0,19.0,9.0,14.231,5,1,None,0,1,12,16,0
http://www.cian.ru/sale/flat/150507193/,1,4464000,27.9,19.1,4.8,14.388,10,1,1,None,0,2,7,1
http://www.cian.ru/sale/flat/150315093/,1,8700000,38.0,20.0,9.0,5.432,10,1,1,0,1,6,17,0
http://www.cian.ru/sale/flat/150155058/,1,13000000,26.0,20.0,6.0,3.042,6,1,1,None,0,10,12,1
http://www.cian.ru/sale/flat/150638478/,3,8800000,54.0,41.0,5.0,7.936,20,1,1,None,0,9,9,0
http://www.cian.ru/sale/flat/149467880/,2,10500000,45.0,31.0,6.0,5.494,10,1,1,None,1,4,9,0
http://www.cian.ru/sale/flat/150942775/,1,5500000,32.0,20.0,6.0,6.938,4,1,None,1,0,1,9,0
http://www.cian.ru/sale/flat/149505542/,1,4043442,27.3,19.9,None,13.326,20,1,1,None,0,26,32,1
http://www.cian.ru/sale/flat/150655593/,2,7399000,45.0,30.0,6.0,15.998,10,1,0,1,1,4,9,0
http://www.cian.ru/sale/flat/149594077/,2,7300000,46.0,28.0,6.8,7.121,15,1,None,1,1,3,5,0
http://www.cian.ru/sale/flat/147673264/,2,6000000,45.0,31.0,7.0,13.255,None,None,None,1,0,6,9,0
http://www.cian.ru/sale/flat/150719914/,2,11800000,84.0,68.0,12.0,25.911,15,0,1,0,1,6,8,0
http://www.cian.ru/sale/flat/150859897/,1,8000000,40.3,19.2,11.8,18.797,15,1,1,1,1,14,15,0
http://www.cian.ru/sale/flat/149835751/,1,5463800,34.0,None,None,11.349,None,None,None,None,0,2,18,1
http://www.cian.ru/sale/flat/149627542/,1,5100000,30.0,17.0,6.0,9.579,15,1,0,None,0,1,9,0
http://www.cian.ru/sale/flat/151069029/,1,4175000,31.5,22.1,4.0,13.398,9,1,1,None,0,22,32,1
http://www.cian.ru/sale/flat/150246234/,1,5899000,32.0,12.5,8.5,7.062,10,1,0,1,0,3,5,0
http://www.cian.ru/sale/flat/150909853/,3,9500000,64.0,43.0,7.0,18.633,7,0,0,1,1,6,12,0
http://www.cian.ru/sale/flat/47505734/,1,5650000,35.0,19.0,8.5,11.311,22,1,None,1,0,6,9,0
http://www.cian.ru/sale/flat/47680297/,1,7469280,43.7,None,None,13.451,2,0,0,None,1,2,17,1
http://www.cian.ru/sale/flat/150901638/,1,6300000,39.0,19.3,8.4,18.599,None,None,0,1,1,3,17,0
http://www.cian.ru/sale/flat/150871130/,1,4450000,33.0,19.0,7.0,13.750,10,0,0,0,0,3,9,0
http://www.cian.ru/sale/flat/150685923/,3,5490000,59.8,43.1,6.0,11.017,9,1,0,1,1,2,9,0
http://www.cian.ru/sale/flat/149403754/,1,5750000,35.4,19.6,9.9,9.474,8,1,0,None,1,9,12,0
http://www.cian.ru/sale/flat/148796437/,1,5350000,32.7,18.0,7.0,13.791,16,1,None,1,0,6,9,0
http://www.cian.ru/sale/flat/150243760/,1,9200000,37.0,19.0,7.0,14.920,12,1,0,1,1,11,17,0
http://www.cian.ru/sale/flat/148385457/,1,6000000,43.0,21.0,9.0,14.706,25,1,0,1,1,4,12,0
http://www.cian.ru/sale/flat/150512899/,2,6950000,38.0,24.0,6.0,8.585,2,1,1,None,1,9,9,0
http://www.cian.ru/sale/flat/150252618/,1,5200000,31.4,21.3,5.3,13.995,10,0,0,1,1,8,9,0
http://www.cian.ru/sale/flat/150602150/,1,5395000,33.2,None,None,11.349,None,None,None,None,0,6,18,1
http://www.cian.ru/sale/flat/149705370/,1,5200000,40.0,20.0,10.0,11.646,None,None,0,None,1,9,12,0
http://www.cian.ru/sale/flat/148741301/,1,5500000,35.0,19.0,10.0,17.169,15,1,0,1,1,4,16,0
http://www.cian.ru/sale/flat/150710501/,2,4599000,43.0,27.0,6.0,12.712,8,1,None,1,1,2,5,0
http://www.cian.ru/sale/flat/149883982/,1,6000000,37.8,18.9,8.4,10.010,10,0,0,None,1,11,17,0
http://www.cian.ru/sale/flat/150513105/,2,6700000,45.0,30.0,6.0,11.354,9,1,1,None,1,6,9,0
http://www.cian.ru/sale/flat/150493276/,1,7999674,38.2,38.2,None,7.023,5,0,1,None,0,4,17,1
http://www.cian.ru/sale/flat/150196730/,1,6520000,32.6,None,None,13.645,14,1,1,None,0,1,22,1
http://www.cian.ru/sale/flat/150976159/,2,10340811,69.0,35.0,None,6.276,5,1,1,None,0,11,20,1
http://www.cian.ru/sale/flat/150897175/,1,6590000,36.0,19.0,8.0,12.872,20,1,1,None,1,13,14,0
http://www.cian.ru/sale/flat/149835829/,1,5388500,32.5,None,None,11.349,None,None,None,None,0,12,20,1
http://www.cian.ru/sale/flat/150207098/,1,7100000,33.0,18.0,6.0,14.393,5,1,None,1,1,5,9,0
http://www.cian.ru/sale/flat/148121567/,3,9000000,58.0,35.0,6.0,9.275,18,1,None,1,1,3,9,0
http://www.cian.ru/sale/flat/148918558/,1,5950000,35.0,20.0,9.6,15.998,12,1,0,1,1,11,12,0
http://www.cian.ru/sale/flat/147000967/,1,6785884,38.4,11.3,17.3,11.050,10,1,1,None,0,2,18,1
http://www.cian.ru/sale/flat/148624477/,2,10000000,54.0,34.0,10.0,10.543,10,1,1,None,0,1,9,0
